inst_id,cell_type,major_axis_length,minor_axis_length,major_minor_ratio,orientation_degree,area,extent,solidity,convex_area,eccentricity,equivalent_diameter,perimeter,R_mean,R_std,R_min,R_max,G_mean,G_std,G_min,G_max,B_mean,B_std,B_min,B_max,contrast,homogeneity,dissimilarity,ASM,energy,correlation,heterogeneity
1,3,20.06848215934186,18.61367136332917,1.0781581864004977,75.50354789263821,287,0.7950138504155124,0.959866220735786,299,0.37380409353444105,19.115955360352558,62.62741699796952,92.21602787456446,20.249885470642443,60,149,32.79442508710802,13.999610631735687,7,73,73.4006968641115,13.595310712961886,48,118,0,1,0,1,1,1,0
2,1,12.082005206229526,9.855792008424457,1.2258786707250076,140.8468227053436,77,0.7129629629629629,0.7623762376237624,101,0.5784167578982673,9.901487006738307,40.10660171779821,100.27272727272727,7.119821177596001,88,120,40.42857142857143,6.078338314085715,27,56,78.57142857142857,5.822991981921437,68,94,0,1,0,1,1,1,0
3,1,43.66004823325147,24.15026026626979,1.8078500087318161,159.6808982557005,773,0.7157407407407408,0.936969696969697,825,0.8330861677732402,31.372187811504013,115.59797974644665,86.41397153945667,15.073924312801378,66,138,23.895213454075034,10.777804818277225,7,65,61.716688227684344,11.267014141327923,43,102,0,1,0,1,1,1,0
4,1,30.145675287947654,21.93334963566514,1.3744218639057622,104.44841202379982,507,0.7681818181818182,0.9302752293577982,545,0.6860242798808963,25.40733061895184,89.84062043356595,121.5956607495069,19.35396999948395,81,160,46.94082840236686,16.31024561845291,8,80,89.24260355029585,19.35962775752387,51,128,0,1,0,1,1,1,0
5,3,59.03157945090741,18.404435499729583,3.207464822910475,68.9384530664212,823,0.5067733990147784,0.921612541993281,893,0.950156711975749,32.37091511398834,136.71067811865476,99.76549210206561,14.116067212751553,77,142,30.240583232077764,11.141875545362451,9,65,68.01215066828675,12.83420203168778,46,108,0,1,0,1,1,1,0
6,1,52.531980903891835,23.79999654216084,2.2072264090809135,173.1374366643011,936,0.7647058823529411,0.9560776302349336,979,0.8914814065727032,34.52176435050956,129.59797974644667,120.89850427350427,18.63600268441171,84,177,42.79380341880342,15.378876207228318,15,88,86.14102564102564,15.660302328931284,55,132,0,1,0,1,1,1,0
7,1,31.961516473013145,15.266990151136069,2.0935047548081887,66.81173320378078,378,0.6631578947368421,0.9545454545454546,396,0.8785404864754871,21.938198374294355,78.18376618407356,104.46825396825396,14.476775694798574,78,145,31.941798941798943,11.450690186993857,12,66,70.12962962962963,12.221570850047058,46,108,0,1,0,1,1,1,0
8,1,19.90065894460375,18.934393401503716,1.0510322946508177,172.7424790845776,296,0.7789473684210526,0.961038961038961,308,0.3078170962678964,19.413369239820483,61.698484809834994,113.77702702702703,13.704320164146475,91,158,32.49324324324324,10.263749263345861,16,66,62.435810810810814,12.852434358407766,45,99,0,1,0,1,1,1,0
9,3,23.77473501725321,15.535200138458473,1.5303784183891647,80.6768508391395,286,0.7771739130434783,0.959731543624161,298,0.7569842207543503,19.08262324195121,63.4558441227157,113.62587412587412,14.289828223931538,91,147,37.7972027972028,14.301234452346106,12,73,77.53146853146853,14.635575105972986,51,118,0,1,0,1,1,1,0
10,3,38.62133303677975,25.303602839385757,1.5263175478183122,43.92547488041639,757,0.6554112554112554,0.9705128205128205,780,0.755480044218962,31.045810270703488,105.63961030678927,121.82694848084545,21.789806806133015,77,173,44.78335535006605,18.65760706937962,6,87,85.71334214002643,20.58230233504847,44,133,0,1,0,1,1,1,0
